31.602785806305686, 34.15856518166426 
31.602785806305686, 34.57123913780572 
31.220119061453996, 34.15856518166426 
31.220119061453996, 34.567940913408805 
Gaza,31.5069,34.456
Rafaḩ,31.2886,34.2519
Khān Yūnis,31.3444,34.3031
Jabālyā,31.5281,34.4831
Bayt Lāhyā,31.5539,34.5014
Dayr al Balaḩ,31.4189,34.3517
Banī Suhaylā,31.3428,34.3253
Al Mughrāqah,31.4659,34.4121
Juḩr ad Dīk,31.4557,34.4372
Saknat az Zarqā,31.5167,34.4667
Al Mashāhirah,31.5167,34.4667
Madīnat al ‘Awdah,31.5471,34.4637
‘Izbat Bayt Ḩanūn,31.536,34.5213
An Nazlah,31.5333,34.4833
‘Arab Maslakh Bayt Lāhyā,31.5341,34.5143
Bayt Ḩānūn,31.5353,34.5358
Umm an Naşr,31.5608,34.5186
Wādī as Salqā,31.4005,34.3375
Al Burayj,31.4394,34.4031
An Nuşayrāt,31.4486,34.3925
Al Muşaddar,31.4105,34.378
Naḥal Qatif,31.4251,34.3734
An Naşr,31.2814,34.3025
AmeerCity,31.323477672814835,34.21875934746276
